,class,comment,full_class,subclass
57,1,"The model neglects recovery disparities by variant (e.g., Delta vs. Omicron).",1.3,3
58,1,The fatality curve is too steep initially; reporting delays would smooth the rise.,1.4,4
59,1,The decline in deaths is abrupt; residual fatalities from long COVID should extend the tail.,1.4,4
60,1,The cumulative deaths plateau too early; underreporting or delayed mortality is likely.,1.4,4
61,1,"The curve assumes constant CFR, ignoring improvements in treatment over time.",1.4,4
62,1,The deaths are misaligned with hospital capacity constraints during the peak.,1.4,4
63,1,The model ignores fatalities from disrupted healthcare for non-COVID conditions.,1.4,4
64,1,The death toll should correlate more closely with ICU admissions data.,1.4,4
65,1,The curve lacks secondary mortality waves from variant surges.,1.4,4
66,1,The initial fatalities are undercounted; excess mortality data suggests a higher baseline.,1.4,4
67,1,"The model underestimates deaths in vulnerable subgroups (e.g., elderly or unvaccinated).",1.4,4
68,1,The fatality rate declines too sharply post-peak; lingering cases would prolong deaths.,1.4,4
69,1,"The curve doesn't account for fatalities from post-acute complications (e.g., organ damage).",1.4,4
70,1,The deaths are too synchronized with infections; typical lags are 2–4 weeks.,1.4,4
71,1,The model overestimates early deaths due to incomplete baseline data.,1.4,4
72,1,The fatality tail should show intermittent spikes from delayed reporting.,1.4,4
73,1,"The curve assumes uniform healthcare quality, ignoring regional mortality disparities.",1.4,4
74,1,The deaths plateau unrealistically; endemic phases still show baseline mortality.,1.4,4
75,1,The model neglects fatalities from vaccine breakthrough infections.,1.4,4
76,1,"The curve should reflect mortality displacement (e.g., harvesting effects).",1.4,4
77,2,The impact of school closures appears too early; behavioral shifts take 10–14 days.,2.1,1
78,2,Vaccination started on day 45—where is the curve flattening after 3–4 weeks?,2.1,1
79,2,"The model assumes immediate mask compliance, but adoption is gradual over 1–2 weeks.",2.1,1
80,2,The effect of travel bans is misaligned with empirical latency periods.,2.1,1
81,2,"Quarantine measures show instant impact, but case isolation delays would delay effects.",2.1,1
82,2,The curve doesn't reflect the 2-week lag for testing and reporting delays.,2.1,1
83,2,The vaccination campaign's effect is mistimed; immunity builds over 3+ weeks.,2.1,1
84,2,The model ignores the delay between policy announcements and public adherence.,2.1,1
85,2,The suppression from lockdowns is too abrupt; phased compliance would smooth the decline.,2.1,1
86,2,The curve should show staggered effects from regional policy rollouts.,2.1,1
87,2,The impact of booster doses is misplaced—antibody maturation takes 7–10 days.,2.1,1
88,2,"The model assumes testing surges immediately affect case counts, but reporting lags exist.",2.1,1
89,2,The effect of curfews is misaligned with nighttime transmission dynamics.,2.1,1
90,2,The curve doesn't account for the delay in contact tracing effectiveness.,2.1,1
91,2,The antiviral rollout's impact is too early; treatment delays are typical.,2.1,1
92,2,The model overlooks the lag between infection spikes and policy responses.,2.1,1
93,2,The curve should reflect the delay in mask mandates reducing community spread.,2.1,1
94,2,"The effect of public awareness campaigns is immediate, but behavior changes gradually.",2.1,1
95,2,"The model assumes instant compliance with gathering limits, which is unrealistic.",2.1,1
96,2,The curve doesn't show the expected 2-week delay for workplace closure impacts.,2.1,1
97,2,The suppression from social distancing is underestimated—R should drop further.,2.2,2
98,2,The curve overestimates mask efficacy given real-world adherence rates.,2.2,2
99,2,"The model ignores the additive effect of combined measures (e.g., masks + ventilation).",2.2,2
100,2,The quarantine impact is too weak—empirical data shows sharper declines.,2.2,2
101,2,The curve doesn't reflect the synergistic effect of vaccines and NPIs.,2.2,2
102,2,The model underestimates the reduction in superspreading events from venue closures.,2.2,2
103,2,The impact of border controls is overstated given leaky enforcement.,2.2,2
104,2,The curve should show stronger suppression from test-trace-isolate programs.,2.2,2
105,2,The model overestimates the durability of lockdown effects without compliance fatigue.,2.2,2
106,2,The curve doesn't account for the nonlinear impact of high-risk group vaccinations.,2.2,2
107,2,The suppression from indoor dining bans is misaligned with transmission studies.,2.2,2
108,2,"The model ignores the differential impact of measures by variant (e.g., Delta vs. Omicron).",2.2,2
109,2,The curve overestimates the effect of public transport restrictions.,2.2,2
110,2,The impact of workplace remote policies is understated given commute patterns.,2.2,2
111,2,The model doesn't reflect the reduced efficacy of measures during holidays.,2.2,2
112,2,The curve should show stronger declines from targeted rather than blanket measures.,2.2,2
113,2,The model underestimates the effect of improved treatment protocols on case severity.,2.2,2
114,2,The curve doesn't capture the impact of local vs. national policy variations.,2.2,2
115,2,The model overestimates the effect of one-time interventions without sustained enforcement.,2.2,2
116,2,The curve doesn't reflect the new mask mandates introduced last week.,2.3,3
117,2,The model ignores the vaccination campaign targeting high-risk groups this month.,2.3,3
118,2,The impact of the latest lockdown is missing from the projections.,2.3,3
119,2,The curve doesn't account for the antiviral rollout starting next week.,2.3,3
120,2,The model overlooks the school reopening policies enacted yesterday.,2.3,3
121,2,The effect of the test-to-stay program in workplaces isn't incorporated.,2.3,3
122,2,The curve should show the influence of the new quarantine guidelines.,2.3,3
123,2,The model doesn't reflect the updated travel testing requirements.,2.3,3
124,2,The impact of the public health ad campaign is absent from the forecast.,2.3,3
125,2,The curve ignores the superspreader event bans announced recently.,2.3,3
126,2,The model doesn't include the new hospital triage protocols.,2.3,3
127,2,The effect of the booster dose expansion isn't visible in the trajectory.,2.3,3
128,2,The curve should reflect the contact tracing app's launch last Monday.,2.3,3
129,2,The model overlooks the mask mandate exemption for vaccinated individuals.,2.3,3
130,2,The impact of the new sick leave policy isn't accounted for.,2.3,3
131,2,The curve doesn't capture the influence of the latest variant-specific vaccines.,2.3,3
132,2,The model ignores the updated guidelines on gathering sizes.,2.3,3
133,2,The effect of the wastewater surveillance program isn't incorporated.,2.3,3
134,2,The curve should show the expected drop from the new rapid test distribution.,2.3,3
135,3,"Hospitalizations peak on day 30, but deaths lag by 10–14 days—this isn't reflected.",3.1,1
136,3,The epidemic cannot end by day 90; historical data suggests 5–8-month durations.,3.1,1
137,3,"The model assumes simultaneous peaks in cases and deaths, but deaths lag by 3 weeks.",3.1,1
138,3,The rebound in cases is misaligned with typical inter-wave intervals of 2–3 months.,3.1,1
139,3,"The curve shows a 10-day delay between measures and impact, but 14 days is more realistic.",3.1,1
140,3,The testing positivity peak precedes case counts by 1 week—this timing is off.,3.1,1
141,3,"The model assumes vaccine immunity starts day 1, but protection takes 14+ days.",3.1,1
142,3,The secondary wave arrives too soon; immunity gaps suggest a 4-month delay.,3.1,1
143,3,The curve doesn't align with the typical 5–7-day serial interval for this pathogen.,3.1,1
144,3,The peak timing contradicts mobility data showing slower transmission growth.,3.1,1
145,3,The model ignores the 2-week delay between infection surges and ICU overflow.,3.1,1
146,3,"The curve assumes testing ramps up instantly, but capacity builds over 3+ weeks.",3.1,1
147,3,The deaths plateau too early; long-term care fatalities extend for months.,3.1,1
148,3,The reinfection wave is mistimed—waning immunity typically occurs at 6–12 months.,3.1,1
149,3,The curve shows weekend reporting dips but doesn't align with actual reporting cycles.,3.1,1
150,3,"The model assumes variant emergence every 60 days, but real intervals are longer.",3.1,1
151,3,The peaks are too regular; real epidemics have variable inter-peak timing.,3.1,1
152,3,The curve doesn't reflect the 10-day delay between symptom onset and death reporting.,3.1,1
153,3,The model misaligns school terms with case surges (holidays reduce transmission).,3.1,1
154,3,"The curve assumes immediate behavioral change, but fear-driven responses take 1–2 weeks.",3.1,1
155,3,"The modeled CFR is 2.5%, but empirical data suggests 1.2–1.8% for this variant.",3.2,2
156,3,"The peak caseload is 50,000/day, but test positivity implies 30,000–35,000.",3.2,2
157,3,"The recovery rate is 10%/day, but hospital data shows 5–7%.",3.2,2
158,3,"The model assumes 90% vaccine efficacy, but recent studies show 70–75% for Omicron.",3.2,2
159,3,"The reinfection rate is 5%, but seroprevalence suggests 15–20%.",3.2,2
160,3,"The curve projects 80% masking compliance, but surveys indicate 50–60%.",3.2,2
161,3,"The hospitalization rate is 10%, but current admissions data shows 6–8%.",3.2,2
162,3,The model underestimates asymptomatic cases—true infections are 2–3× higher.,3.2,2
163,3,"The deaths/day peak at 1,000, but excess mortality caps at 600–800.",3.2,2
164,3,"The curve assumes 70% booster uptake, but actual rates are 50–55%.",3.2,2
165,3,"The R0 is set at 3.5, but wastewater data suggests 2.8–3.2.",3.2,2
166,3,The model overestimates long COVID prevalence by 2× compared to cohort studies.,3.2,2
167,3,"The curve projects 30% pediatric cases, but school reports show 15–20%.",3.2,2
168,3,"The ICU utilization is 90%, but bed capacity limits at 75–80%.",3.2,2
169,3,"The model assumes 95% testing sensitivity, but real-world estimates are 85–90%.",3.2,2
170,3,"The curve underestimates household secondary attack rates (should be 20–25%, not 15%).",3.2,2
171,3,"The reinfection interval is 180 days, but data shows 120–150 days for this variant.",3.2,2
172,3,The model overestimates vaccine waning—antibody decay is slower in reality.,3.2,2
173,3,"The curve assumes 100% case detection, but 30–40% are typically missed.",3.2,2
174,3,"The fatality rate in >80-year-olds is 15%, but recent data shows 8–10% with boosters.",3.2,2
175,4,The peak arrives too soon—current mobility data suggests a later surge.,4.1,1
176,4,Immunity from prior waves should delay the peak by 4–6 weeks.,4.1,1
177,4,The peak timing contradicts the observed doubling time of cases.,4.1,1
178,4,Quarantine measures were introduced late—the peak should shift right by 10–14 days.,4.1,1
179,4,The model ignores seasonality; the peak should align with indoor gathering periods.,4.1,1
180,4,The peak is mistimed with school reopenings—expect a 2-week delay in case surges.,4.1,1
181,4,Vaccine rollout acceleration will push the peak 3–4 weeks later than projected.,4.1,1
182,4,"The curve assumes uniform transmission, but regional variability will stagger the peak.",4.1,1
183,4,The peak is too early given the current test positivity trendline.,4.1,1
184,4,"Behavioral fatigue will prolong the ascent, delaying the peak by 1–2 months.",4.1,1
185,4,"The model doesn't account for variant competition, which could delay dominance.",4.1,1
186,4,"The peak aligns with holidays, but travel reductions will blunt and delay it.",4.1,1
187,4,The curve underestimates the impact of prior immunity on peak timing.,4.1,1
188,4,The peak should coincide with the typical winter respiratory virus season.,4.1,1
189,4,The model ignores the delay from infection to hospitalization peaks (2–3 weeks).,4.1,1
190,4,"The curve assumes immediate NPIs, but phased measures will flatten and delay the peak.",4.1,1
191,4,The peak is misaligned with the expected timeline of booster effectiveness.,4.1,1
192,4,The model doesn't reflect the lag between case peaks and seroprevalence peaks.,4.1,1
193,4,The curve should show a later peak due to incomplete baseline immunity.,4.1,1
194,4,The peak timing doesn't match the empirical serial interval for this variant.,4.1,1
195,4,The peak caseload is overestimated—current doubling time suggests a lower maximum.,4.2,2
196,4,"The model ignores test capacity limits, which will cap observed peak cases.",4.2,2
197,4,The peak ICU demand exceeds historical bed availability by 30%.,4.2,2
198,4,"The curve assumes uniform attack rates, but real peaks are lower due to heterogeneity.",4.2,2
199,4,The peak deaths/day are 2× higher than empirical data from comparable regions.,4.2,2
200,4,The model overestimates peak prevalence given current wastewater viral loads.,4.2,2
201,4,The curve doesn't account for underreporting during surges (true peak is higher).,4.2,2
202,4,The peak hospitalizations exceed staffed bed capacity by 40%—this is unrealistic.,4.2,2
203,4,"The model assumes no behavioral change during peaks, which would lower caseloads.",4.2,2
204,4,The peak should be 20% lower due to prior immunity from undocumented infections.,4.2,2
205,4,The curve overestimates peak transmission given observed contact rate reductions.,4.2,2
206,4,The model ignores the dampening effect of hybrid immunity on peak severity.,4.2,2
207,4,The peak cases are misaligned with the expected vaccine coverage at that time.,4.2,2
208,4,The curve doesn't reflect the expected drop in peak size from antiviral use.,4.2,2
209,4,"The model assumes no triage protocols, which would artificially lower peak deaths.",4.2,2
210,4,The peak should account for the 15–20% of cases never detected by testing.,4.2,2
211,4,The curve overestimates peak fatalities given improved treatments since last wave.,4.2,2
212,4,The model doesn't incorporate the predicted peak suppression from booster campaigns.,4.2,2
213,4,The curve should show a lower peak due to differential vulnerability in the population.,4.2,2
214,4,The peak caseload contradicts the observed decline in superspreading events.,4.2,2
0,1,The curve's ascent is too steep; real-world spread is more gradual due to varying contact rates.,1.1,1
1,1,The decline post-peak is too abrupt; residual transmission chains should prolong the tail.,1.1,1
2,1,The peak is too narrow; infections occur over a broader period in reality.,1.1,1
3,1,"The curve is perfectly symmetrical, but real epidemics have asymmetric growth and decay phases.",1.1,1
4,1,The initial growth phase is linear; exponential spread is more likely in early stages.,1.1,1
5,1,Secondary waves are missing; relaxations in measures often cause resurgences.,1.1,1
6,1,The curve assumes homogeneous mixing; geographic clustering would flatten the peak.,1.1,1
7,1,"Super-spreader events are not accounted for, causing irregular spikes in cases.",1.1,1
8,1,"The baseline transmission rate is constant, but seasonal effects should modulate it.",1.1,1
9,1,The curve lacks 'shoulders'—real data often shows plateaus due to intermittent interventions.,1.1,1
10,1,Susceptible depletion is too rapid; herd immunity thresholds are approached more gradually.,1.2,2
11,1,"The curve drops to near-zero, but pockets of susceptibles remain in isolated populations.",1.2,2
12,1,"The decline is linear; in reality, depletion slows as fewer susceptible individuals remain.",1.2,2
13,1,No rebound in susceptibles is shown; waning immunity or births would replenish this group.,1.2,2
14,1,The model ignores demographic turnover—new susceptibles enter the population over time.,1.2,2
15,1,The curve assumes uniform susceptibility; age-stratified risks would alter the depletion rate.,1.2,2
16,1,"No accounting for cross-immunity from related pathogens, which would reduce susceptibles.",1.2,2
17,1,The decline is too smooth; real data shows step-like drops correlated with interventions.,1.2,2
18,1,The susceptible pool is overestimated due to unaccounted pre-existing immunity.,1.2,2
19,1,The curve doesn't reflect regional variability in susceptibility rates.,1.2,2
20,1,Recoveries lag infections too uniformly; variation in disease duration should scatter the curve.,1.3,3
21,1,The recovery rate plateaus abruptly; long-term cases should create a tapered tail.,1.3,3
22,1,Reinfections are not modeled—recovered individuals should re-enter the susceptible pool over time.,1.3,3
23,1,The curve assumes 100% recovery; fatalities and chronic cases should reduce final counts.,1.3,3
24,1,Recovery is instantaneous post-infection; real-world convalescence delays the peak.,1.3,3
25,1,Immunity duration is infinite; waning immunity would cause recoveries to decline after a period.,1.3,3
26,1,The recovery curve is too smooth; hospitalization bottlenecks create irregular surges.,1.3,3
27,1,No stratification by severity—mild vs. severe cases have different recovery trajectories.,1.3,3
28,1,"The model ignores reintegration delays (e.g., testing delays before marking recoveries).",1.3,3
29,1,Recoveries are overestimated due to unaccounted for post-acute sequelae (long COVID).,1.3,3
30,1,The fatality curve is too front-loaded; deaths should accumulate more gradually.,1.4,4
31,1,The decline in deaths is too sharp; residual mortality from complications extends the tail.,1.4,4
32,1,Deaths plateau too early; delayed reporting and undercounting prolong the curve.,1.4,4
33,1,The curve lacks correlation with hospitalizations—death surges should lag ICU admissions by weeks.,1.4,4
34,1,No mortality from post-recovery complications is included.,1.4,4
35,1,The fatality rate is constant; improvements in treatment should reduce later deaths.,1.4,4
36,1,"Demographic shifts (e.g., aging populations) are ignored, skewing death distributions.",1.4,4
37,1,The curve assumes uniform healthcare capacity; overwhelmed systems increase fatality spikes.,1.4,4
38,1,"No accounting for excess mortality indirectly caused by the epidemic (e.g., delayed care).",1.4,4
39,1,The model underestimates fatalities due to uncounted community deaths.,1.4,4
40,2,The impact of lockdown appears on day 5; behavioral changes take at least 14 days.,2.1,1
41,2,Vaccination effects are immediate; immune response requires 2-3 weeks to reduce transmission.,2.1,1
42,2,"School closures are modeled to cut cases instantly, but household transmission delays the effect.",2.1,1
43,2,The curve shows mask mandates working overnight; adherence builds gradually over days.,2.1,1
44,2,Travel bans are reflected too early; imported cases continue to seed outbreaks for weeks.,2.1,1
45,2,"Testing ramp-up is assumed to immediately lower transmission, but contact tracing takes time.",2.1,1
46,2,Quarantine compliance is overestimated—real-world delays weaken early impact.,2.1,1
47,2,"The model ignores the incubation period, making measures seem effective prematurely.",2.1,1
48,2,"Curve shows distancing measures flattening cases instantly, but social networks adapt slowly.",2.1,1
49,2,"Antiviral rollout is modeled to reduce deaths immediately, but treatment courses take days.",2.1,1
50,2,The suppression from lockdown is overstated—essential workers sustain transmission.,2.2,2
51,2,"Mask mandates are modeled as 100% effective, ignoring imperfect compliance.",2.2,2
52,2,"The curve assumes full vaccination stops transmission, but breakthrough infections are likely.",2.2,2
53,2,Contact tracing is modeled as perfect; real-world inefficiencies reduce its impact.,2.2,2
54,2,The model overestimates the effect of border closures due to illegal crossings.,2.2,2
55,2,Curfew effects are oversimplified; night-time gatherings offset daytime restrictions.,2.2,2
56,2,"The curve shows school closures reducing R0 to 0.5, but household clusters compensate.",2.2,2
57,2,The model ignores fatigue—public adherence to measures wanes over time.,2.2,2
58,2,"Telework policies are assumed to eliminate workplace spread, but home transmissions rise.",2.2,2
59,2,Hospital triage protocols are not reflected; deaths spike when ICU capacity is exceeded.,2.2,2
60,2,The curve doesn't reflect the new quarantine policy starting next week.,2.3,3
61,2,Vaccination campaigns are omitted despite 20% coverage already achieved.,2.3,3
62,2,"No adjustment for improved testing capacity, which would detect more mild cases.",2.3,3
63,2,The model ignores seasonal humidity changes that typically suppress transmission.,2.3,3
64,2,"Air filtration upgrades in public spaces aren't included, though they reduce aerosol spread.",2.3,3
65,2,The curve doesn't account for the new fast-spreading variant identified last month.,2.3,3
66,2,"No reflection of mandated sick leave policies, which reduce workplace outbreaks.",2.3,3
67,2,The model overlooks community-led mask distribution programs in high-risk areas.,2.3,3
68,2,Antibody therapies are available but not factored into hospitalization reductions.,2.3,3
69,2,"The curve assumes no public messaging campaigns, though they've improved compliance.",2.3,3
70,3,Deaths peak simultaneously with cases; real data shows a 2-3 week lag.,3.1,1
71,3,Hospitalizations are misaligned—ICU admissions typically trail infections by 10 days.,3.1,1
72,3,The epidemic ends abruptly at day 100; tail periods usually last months.,3.1,1
73,3,The second wave starts too soon; immunity from the first wave should delay resurgence.,3.1,1
74,3,Case reporting spikes overnight; real surveillance systems show smoother accrual.,3.1,1
75,3,The model assumes immediate case isolation; testing delays create lags in containment.,3.1,1
76,3,Vaccination timelines are compressed—dose intervals stretch rollout durations.,3.1,1
77,3,"The curve shows weekend reporting dips, but real data is aggregated weekly.",3.1,1
78,3,"Asymptomatic testing backlog isn't modeled, causing unrealistic case spikes.",3.1,1
79,3,The epidemic's start date is off—seroprevalence data suggests earlier undetected spread.,3.1,1
80,3,"Case fatality rate is 10%, but community serosurveys suggest <1%.",3.2,2
81,3,The model assumes 90% vaccine efficacy; real-world data shows 70% against current variants.,3.2,2
82,3,Hospitalization rates are double historical averages for this age group.,3.2,2
83,3,"The curve underestimates pediatric cases, which comprise 20% of infections now.",3.2,2
84,3,"Reinfection rates are set to zero, but new variants evade prior immunity.",3.2,2
85,3,Asymptomatic cases are undercounted—studies show they represent 40% of transmissions.,3.2,2
86,3,The model overestimates deaths by ignoring improved treatment protocols.,3.2,2
87,3,"Test positivity rates in the forecast are 5%, but current data shows 15%.",3.2,2
88,3,"The R0 is fixed at 3.0, but regional variations range from 1.5 to 4.0.",3.2,2
89,3,"Vaccine coverage targets 80%, but hesitancy limits uptake to 60% in key regions.",3.2,2
90,4,"The peak arrives in 30 days, but mobility data suggests slower spread (50+ days).",4.1,1
91,4,Immunity from prior waves delays the peak by at least a month.,4.1,1
92,4,The peak is too early—current Reff >1 implies further growth.,4.1,1
93,4,The model misses a dual peak from staggered regional outbreaks.,4.1,1
94,4,The peak timing assumes uniform climate; seasonal variations will shift it regionally.,4.1,1
95,4,"Behavioral changes pre-peak (e.g., voluntary distancing) are ignored, flattening the curve earlier.",4.1,1
96,4,The peak is delayed by 10 days due to late importation of a faster-spreading variant.,4.1,1
97,4,Vaccine rollout pace is unrealistic—supply constraints push the peak back by weeks.,4.1,1
98,4,"The peak aligns with holidays, but gathering restrictions will blunt its height.",4.1,1
99,4,The curve assumes no pre-peak NPIs; real-world reactive measures will delay it.,4.1,1
100,4,"Peak caseload is 50K/day, but test capacity caps detection at 30K.",4.2,2
101,4,The peak's height ignores underreporting—true cases are likely 3x higher.,4.2,2
102,4,"Hospitalizations at peak exceed ICU beds by 200%, which is unsustainable.",4.2,2
103,4,The model underestimates peak deaths due to uncounted nursing home outbreaks.,4.2,2
104,4,Peak infections are too low—current wastewater data suggests 2x higher community spread.,4.2,2
105,4,"The peak's shape assumes no interventions, but emergency measures will flatten it.",4.2,2
106,4,"Super-spreader events are omitted, causing unrealistic peak smoothness.",4.2,2
107,4,"The peak caseload doesn't account for test positivity rates >20%, indicating undetected spread.",4.2,2
108,4,The model overestimates peak severity due to outdated contact rate assumptions.,4.2,2
109,4,"Peak timing coincides with vaccine coverage, reducing expected case numbers.",4.2,2
0,1,The curve's ascent is too steep; real-world transmission would show a more gradual increase.,1.1,1
1,1,The peak is too narrow; infections should spread over a longer period.,1.1,1
2,1,The decline phase is too symmetrical; real epidemics have a longer tail.,1.1,1
3,1,The initial growth rate is unrealistic given observed contact patterns.,1.1,1
4,1,The curve lacks secondary waves; consider seasonality or behavioral changes.,1.1,1
5,1,The post-peak decline is too abrupt; residual transmission should persist.,1.1,1
6,1,"The curve assumes homogeneous mixing, ignoring superspreading events.",1.1,1
7,1,The inflection point is too sharp; interventions usually have a gradual effect.,1.1,1
8,1,The curve does not account for regional variations in transmission rates.,1.1,1
9,1,The plateau phase is missing; real epidemics often stabilize before declining.,1.1,1
10,1,The susceptible population depletes too quickly; herd immunity is not yet reached.,1.2,2
11,1,"The curve drops linearly; in reality, depletion slows as immunity builds.",1.2,2
12,1,"The model assumes 100% susceptibility, ignoring pre-existing immunity.",1.2,2
13,1,The decline is too uniform; some subgroups retain higher susceptibility.,1.2,2
14,1,The curve should account for demographic heterogeneity in exposure.,1.2,2
15,1,The susceptible pool is exhausted prematurely; reinfections are not considered.,1.2,2
16,1,"The decline should be sigmoidal, not exponential.",1.2,2
17,1,"The model ignores population turnover (births, migration).",1.2,2
18,1,The curve does not reflect partial immunity from cross-reactive responses.,1.2,2
19,1,The depletion rate is inconsistent with observed infection rates.,1.2,2
20,1,The recovery curve is too steep; typical illness durations are longer.,1.3,3
21,1,Recoveries plateau too early; long-term cases should extend the tail.,1.3,3
22,1,The lag between infections and recoveries is underestimated.,1.3,3
23,1,The curve does not account for reinfections or waning immunity.,1.3,3
24,1,Recoveries should increase more slowly due to chronic cases.,1.3,3
25,1,"The recovery rate is constant, but real-world data shows variability.",1.3,3
26,1,The model ignores differential recovery rates by age group.,1.3,3
27,1,"The curve assumes all cases resolve, ignoring persistent symptoms.",1.3,3
28,1,Recoveries are too synchronized; real-world recovery times are dispersed.,1.3,3
29,1,The recovery trajectory should align with hospitalization discharge rates.,1.3,3
30,1,The fatality curve is too abrupt; deaths should accumulate more gradually.,1.4,4
31,1,The decline in deaths is too sharp; residual mortality should persist.,1.4,4
32,1,The curve does not reflect reporting delays in mortality data.,1.4,4
33,1,Deaths plateau too early; consider underreporting or delayed outcomes.,1.4,4
34,1,The initial mortality spike is unrealistic without a surge in severe cases.,1.4,4
35,1,The fatality rate is inconsistent with observed ICU admissions.,1.4,4
36,1,The curve lacks a long tail from post-acute complications.,1.4,4
37,1,Deaths should lag behind infections by at least 2-3 weeks.,1.4,4
38,1,The model ignores excess mortality from healthcare system strain.,1.4,4
39,1,"The cumulative deaths curve should be smoother, reflecting reporting lags.",1.4,4
40,2,The lockdown effect appears too early; behavioral changes take 2-3 weeks.,2.1,1
41,2,"Vaccination started on day 30, but immunity buildup isn’t visible by day 45.",2.1,1
42,2,"School closures should impact transmission after a 10-day delay, not immediately.",2.1,1
43,2,The curve shows an instant drop after mask mandates; real effects are gradual.,2.1,1
44,2,Travel restrictions take time to reduce importation—no effect is visible yet.,2.1,1
45,2,The modeled quarantine impact is misaligned with empirical delay patterns.,2.1,1
46,2,"Testing campaigns began on day 20, but case detection hasn’t increased.",2.1,1
47,2,The curve doesn’t reflect the 14-day lag between interventions and case decline.,2.1,1
